ID,FIPS,Condado,Estado,Latitud,Longitud,Poblacion,Tasa_Final,PC1,PC2,PC3,PC4,PC5,LLE1_k8,LLE2_k8,LLE1_k15,LLE2_k15,LLE1_k30,LLE2_k30
84019033,19033.0,Cerro Gordo,Iowa,43.08177563,-93.2612239,42450,212.01413427561835,2.362946222737021,-3.2433323163342,-0.11359134189503547,-2.92327495306505,0.46425250617950264,-0.0022980456272186445,0.006489559826608947,-0.004245372237431966,-0.003904169072838905,0.0054438968629580645,0.0020940741511031743
84019035,19035.0,Cherokee,Iowa,42.73538914,-95.62389402,11235,338.2287494437027,4.948378994178028,-13.665934636792462,0.07954937340385716,6.626170858673501,-3.889322166120644,-0.001543914310650556,0.006537484096483796,-0.010835180699726717,-0.024793957439410156,0.01695766542840552,0.024622505974722476
84019037,19037.0,Chickasaw,Iowa,43.06001295,-92.31773347,11933,134.0819575965809,-10.842415692923982,-1.0810691687744025,-0.12059121895817489,1.396617418158688,-0.20750453211539474,-0.00374333503370917,-0.0030621203266156167,0.008882248305028047,-0.0008721602007482663,-0.011499613765181682,0.010527967456283953
84019039,19039.0,Clarke,Iowa,41.02868181,-93.78499767,9395,255.45502927088876,-0.5612160526308713,-2.4231739575616964,-0.11296851629890628,0.9179606333819982,-4.107451625286724,-0.0023540744518005,0.005182905454206585,-0.0031843686617190757,-0.008239959813287918,0.004378368800175127,0.011556127435451601
84019041,19041.0,Clay,Iowa,43.08247182,-95.15096481,16016,168.58141858141857,-7.165208954332198,-2.014008251977755,-0.114421729794433,0.535124945757551,-0.7943217647044759,-0.0034269718709142158,-7.874625788748492e-05,0.004394368882422252,-0.005169754271460649,-0.004625170584953916,0.009707459047718919
84019043,19043.0,Clayton,Iowa,42.84443388,-91.34133693,17549,319.10650179497406,7.426679986838487,-10.503630903892924,0.07003580617905224,8.458609692413118,-4.533465553966361,-0.0010722129526264809,0.008647488403651439,-0.011421567502127708,-0.024422315121729606,0.016037118746437196,0.019782868414704315
84019045,19045.0,Clinton,Iowa,41.89981633,-90.53275096,46429,200.30584333067696,-1.4491876351524775,-3.9216212629459224,-0.10380231745616648,-1.3331625110632954,1.2981510776551213,-0.0026364801537070138,0.004931932568759414,-0.0035259771995481463,-0.005182426526232599,0.00153627739713257,0.006252967827271665
84019047,19047.0,Crawford,Iowa,42.03718237,-95.3819718,16820,237.81212841854932,2.3838252356126137,-3.429137748495515,-0.09302081166092657,0.5272028099780642,0.2199287547412439,-0.0024598487556048232,0.005712529965651769,-0.00493471594784427,-0.00671144327245298,0.005529160274731816,0.006540897303179231
84019049,19049.0,Dallas,Iowa,41.68560356,-94.04127625,93453,105.93560399345125,-4.725329887033202,7.020030246978914,-0.24521698993019436,-3.4141550874382807,-1.4152181759412084,-0.0029040611003420913,0.032556656662801706,0.006825589944000159,0.0011775565143795433,-0.00843988489088696,-0.008857256663106888
84019051,19051.0,Davis,Iowa,40.74773536,-92.41005468,9000,266.6666666666667,5.160610285106334,-9.212328613403045,-0.0013249328901584114,1.8920006841588992,-1.0883640382675346,-0.002020549929825347,0.005749786226868073,-0.009595517989791236,-0.014304452905861813,0.012130514413208253,0.012819420107931138
84019053,19053.0,Decatur,Iowa,40.73742757,-93.78645949,7870,114.35832274459975,-13.76549558165671,0.8262213411855904,-0.14951066894597312,1.5701282941304875,-1.33698856161068,-0.004083719181730279,-0.007821146433867478,0.01281376636639234,0.0013501533043241848,-0.014968918968572656,0.011342446920845184
84019055,19055.0,Delaware,Iowa,42.47104597,-91.3664492,17011,241.02051613661746,3.1412242641064214,-8.230134507439928,-0.024751895992086048,0.7326625116608707,1.6799090152466276,-0.002283986903415154,0.0052255615059053065,-0.008979796211348012,-0.008339554707049314,0.007762720762615279,0.010014231059361346
84019057,19057.0,Des Moines,Iowa,40.92012606,-91.18326592,38967,171.94035979161856,-6.474637039965745,-1.7816182635722104,-0.11624647271813873,0.8747066281458438,-0.6141217805273314,-0.0033768938069877815,0.0006168185509162023,0.00409385609060867,-0.004767077771586557,-0.0046170896810803184,0.009310160404207981
84019059,19059.0,Dickinson,Iowa,43.37787725,-95.1510206,17258,254.95422412794068,0.9183961573562175,-5.181378515140323,-0.07457315514795453,0.602380196610478,-2.156521683501876,-0.002422007937038887,0.004802207181910568,-0.004431942773451056,-0.011167816536881748,0.006709319687998562,0.011376080036098668
84019061,19061.0,Dubuque,Iowa,42.46815349,-90.88181925,97311,214.77530803300755,3.4301946942128274,-1.2742237701946337,-0.10463348236784502,0.16114557026266277,-0.16170681035954196,-0.001816843595253706,0.009596416491010574,-0.0048529015582726015,-0.004607101559703763,0.004731754750544444,0.0020064650056061126
84019063,19063.0,Emmet,Iowa,43.37782951,-94.67858943,9208,434.4048653344918,27.856036121184992,-19.57415836809825,0.07396571719626505,-5.623830399859243,5.363561169624632,0.0024871772905980883,0.006545668056234749,-0.03494532258129926,-0.012723694409736726,0.041022922414660504,0.0033983306459589883
84019065,19065.0,Fayette,Iowa,42.86271799,-91.8441231,19650,213.7404580152672,-6.115791744610927,-4.814148438761768,-0.07178229175978422,2.4495891759433173,-0.9755389021081862,-0.003197592397298549,0.0012782849571884684,0.0019100505183572921,-0.00938204747754619,-0.0019308928712808726,0.014524635354745687
84019067,19067.0,Floyd,Iowa,43.06000529999999,-92.78940097,15642,268.5078634445723,6.078329669543392,-9.373970491243151,-0.0009246451864176462,1.7000218258742572,0.16172930504955557,-0.0017794615299710139,0.006167285889584628,-0.011200921824745767,-0.012699840446851416,0.01271857595741265,0.011531191994690765
84019069,19069.0,Franklin,Iowa,42.73270384,-93.26256925,10070,208.54021847070504,16.326207815285045,0.6078008884611311,-0.2684857468306714,-18.438517565522094,6.938228791389621,0.00020313176140274533,0.007370185933524868,-0.03565222573054428,0.006553847742930403,0.020024696980115123,-0.022578509474894756
84019071,19071.0,Fremont,Iowa,40.74542720000001,-95.60129045,6960,129.3103448275862,-10.312987714188564,-1.392551405669532,-0.11950753108923023,1.2518569244180353,-0.09225167381119824,-0.003727231941182478,-0.002963786962344369,0.008426306364524573,-0.0013018886917787788,-0.010004768820149435,0.009959098175380342
84019073,19073.0,Greene,Iowa,42.03614551,-94.39658081,8888,112.51125112511251,-12.697253262264523,-0.02376080431391333,-0.13205392259732945,1.7327201918320907,-0.8436324238412091,-0.003964731536466957,-0.006120094916450065,0.011139166671197078,0.000492946131517899,-0.014343712809448255,0.011022036496993216
84019075,19075.0,Grundy,Iowa,42.40183723,-92.78829551,12232,269.7841726618705,1.6764116340816473,-9.603091842223446,-0.0011592562334843935,2.641168367462529,-0.5435652216361254,-0.002239427297966527,0.0050048656502064874,-0.00667629129576151,-0.014008073303877813,0.009076993789894775,0.01582128996178162
84019077,19077.0,Guthrie,Iowa,41.68378965,-94.50111014,10689,299.37318738890446,14.548086625344684,-3.9897553750031443,-0.0962677044715327,-3.224527751808992,0.05965197132521258,3.2962183112888175e-05,0.011196411647706883,-0.014715223770841751,-0.0053013089862907,0.016586195285798612,-0.0019782284700580696
84019079,19079.0,Hamilton,Iowa,42.38382428,-93.70197703,14773,338.45529005618357,3.69730970509622,-12.002841263113226,0.04029809526572345,5.009480776524025,-2.6742341650084875,-0.0018089993595486087,0.00602649105564524,-0.008907553586600519,-0.01986401393589071,0.01394106100496955,0.02102763728499997
84019081,19081.0,Hancock,Iowa,43.08178477,-93.73454884,10630,319.8494825964252,6.080561505032337,-12.22379957700694,0.045661856275437576,3.9791062653018283,-1.7119297276255252,-0.0014905334105117943,0.006728644900736209,-0.01039605102117397,-0.018227372180414772,0.015660679550176464,0.017917196527908158
